step,loss,lr,step_time,total_time,vram_mb
135,4.350528955459595,1e-05,0.06443643569946289,11.017107725143433,2452.302734375
136,4.368887424468994,1e-05,0.08054876327514648,11.104073286056519,2452.302734375
137,4.542016983032227,1e-05,0.0739281177520752,11.180059432983398,2452.302734375
138,4.653018474578857,1e-05,0.06504130363464355,11.250881433486938,2452.302734375
139,3.230236291885376,1e-05,0.06496381759643555,11.321780681610107,2452.302734375
140,3.620028495788574,1e-05,0.06474971771240234,11.393017530441284,2452.302734375
141,4.019032001495361,1e-05,0.06499052047729492,11.464089155197144,2452.302734375
142,3.829176187515259,1e-05,0.06597757339477539,11.536391735076904,2452.302734375
143,2.824690103530884,1e-05,0.06562113761901855,11.607935190200806,2452.302734375
144,3.7772663831710815,1e-05,0.0648951530456543,11.67875337600708,2452.302734375
145,4.3548102378845215,1e-05,0.06502652168273926,11.750039100646973,2452.302734375
146,4.117996692657471,1e-05,0.06611442565917969,11.822228908538818,2452.302734375
147,3.698062300682068,1e-05,0.06490612030029297,11.893335342407227,2452.302734375
148,4.801103591918945,1e-05,0.06486821174621582,11.964167833328247,2452.302734375
149,3.784109950065613,1e-05,0.06477856636047363,12.034986972808838,2452.302734375
150,3.7640058994293213,1e-05,0.06432366371154785,12.10552167892456,2452.302734375
151,4.1284520626068115,1e-05,0.0653841495513916,12.177070617675781,2452.302734375
152,3.8654844760894775,1e-05,0.06642508506774902,12.249855279922485,2452.302734375
153,4.652785062789917,1e-05,0.06481289863586426,12.321146249771118,2452.302734375
154,4.826201438903809,1e-05,0.06580114364624023,12.39358401298523,2452.302734375
155,3.541111707687378,1e-05,0.06479382514953613,12.464664459228516,2452.302734375
156,3.7926268577575684,1e-05,0.06492161750793457,12.536295413970947,2452.302734375
157,3.9228267669677734,1e-05,0.06572699546813965,12.60851240158081,2452.302734375
158,0.37188269197940826,1e-05,0.0687868595123291,12.68333911895752,2452.302734375
159,4.645400285720825,1e-05,0.06559348106384277,12.75535249710083,2452.302734375
160,4.383448362350464,1e-05,0.06577682495117188,12.827404737472534,2452.302734375
161,5.0031232833862305,1e-05,0.06589627265930176,12.899518966674805,2452.302734375
162,3.7675410509109497,1e-05,0.0666048526763916,12.972315073013306,2452.302734375
163,4.060726642608643,1e-05,0.06541657447814941,13.04403018951416,2452.302734375
164,4.557270765304565,1e-05,0.06588268280029297,13.116414785385132,2452.302734375
165,4.13223934173584,1e-05,0.0656583309173584,13.188369750976562,2452.302734375
166,2.9159151315689087,1e-05,0.06544756889343262,13.26006817817688,2452.302734375
167,5.2377777099609375,1e-05,0.06527471542358398,13.331995248794556,2452.302734375
168,4.3703625202178955,1e-05,0.06517291069030762,13.403465747833252,2452.302734375
169,4.202091455459595,1e-05,0.0643768310546875,13.474335432052612,2452.302734375
170,3.709571123123169,1e-05,0.06418561935424805,13.544750213623047,2452.302734375
